RegionName;RegionID
Республика Мордовия;1
Воронежская область;2
Липецкая область;3
Тульская область;4
Ульяновская область;5
Астраханская область;6
Тамбовская область;7
Кировская область;8
Нижегородская область;9
Чувашская Республика;10
Псковская область;11
Орловская область;12
Курская область;13
г. Санкт-Петербург;14
г. Москва;15
Республика Коми;16
Самарская область;17
Омская область;18
Краснодарский край;19
Вологодская область;20
Владимирская область;21
Московская область;22
Ивановская область;23
Республика Татарстан;24
Ставропольский край;25
Пермский край;26
Без региона;27
Белгородская область;28
Волгоградская область;29
Республика Крым;30
Брянская область;31
Ленинградская область;32
Свердловская область;33
Новосибирская область;34
Ростовская область;35
Челябинская область;36
Саратовская область;37
Рязанская область;38
Новгородская область;39
Тверская область;40
Республика Карелия;41
Калининградская область;42
Оренбургская область;43
Костромская область;44
Архангельская область;45
Ярославская область;46
Красноярский край;47
Республика Карачаево-Черкесия;48
Смоленская область;49
Калужская область;50
Республика Башкортостан;51
Пензенская область;52
Республика Адыгея;53
Удмуртская Республика;54
Тюменская область;55
Республика Марий Эл;56
Ханты-Мансийский автономный округ - Югра;57
Мурманская область;58
Иркутская область;59
Кемеровская область;60
Забайкальский край;61
Амурская область;62
Казахстан;63
Беларусь;64
Камчатский край;65
Сахалинская область;66
Хабаровский край;67
Томская область;68
Алтайский край;69
Магаданская область;70
Чеченская Республика;71
Республика Бурятия;72
Республика Дагестан;73
Республика Хакасия;74
Курганская область;75
Азербайджан;76
Приморский край;77
Республика Северная Осетия-Алания;78
Республика Саха (Якутия);79
Республика Калмыкия;80
Ямало-Ненецкий автономный округ;81
Кабардино-Балкарская Республика;82
Республика Тыва;83
